,palavra,rec,pont
7609,megabytes,3,0.06228357175138275
8544,amazônia,2,0.06173516294350894
8674,palmadas,3,0.06150307586477394
2670,ibm,26,0.06121130952540571
3229,ep7,2,0.06081716795550137
2549,microcomputador,7,0.060732582974231585
5003,predador,7,0.06067912317679415
5968,vento,3,0.060591919185295814
5967,cata,3,0.060591919185295814
5410,mielina,3,0.060591919185295814
6151,unificação,3,0.06029417019667028
7710,recu,6,0.060018488975442034
8823,cordia,2,0.05992607391952333
8779,anacardiaceae,2,0.05992607391952333
8798,mart,2,0.05992607391952333
456,fluxos,18,0.059762231596931316
6327,define,6,0.059648122717067084
1440,statonline,7,0.05940605762359222
6048,satélites,7,0.05924418478668744
2860,1978,5,0.05913047763423217
4914,intuitiva,3,0.05870748150728422
8394,inventário,3,0.05870748150728422
6177,espalhadas,3,0.05870748150728422
6171,meridiano,3,0.05870748150728422
6990,berkeley,3,0.05842792207153524
7184,cu,6,0.05838327168809155
7586,imaginária,6,0.05833434348436828
1108,vazão,11,0.0582399945631886
5047,mamífero,3,0.058013539645495986
7840,025,2,0.057808544805759254
2996,star,6,0.05760608035446074
5215,stripe,3,0.0572021614686359
3204,quadrantes,5,0.056795960063557985
4255,parbegin,2,0.055835556928429585
6576,region,3,0.055645640068128804
6575,difference,3,0.055645640068128804
6574,there,3,0.055645640068128804
7517,k6-ii,2,0.05545701077976226
5335,diencéfalo,5,0.05542845724309783
5334,telencéfalo,5,0.05542845724309783
4366,pvmd,3,0.05539441821680542
3116,pro,5,0.055330918044272
1167,globo,7,0.055317930375959515
270,and,108,0.0552745680855366
7830,imagem/ruído,2,0.05508356289572346
7829,influências,2,0.05508356289572346
7831,coação,2,0.05508356289572346
3208,barramento,7,0.054675299108978226
5461,neurotransmissores,3,0.054291432013373456
5449,pré-sináptica,3,0.054291432013373456
8317,negativa,3,0.05405226270934979
5345,caloso,10,0.05403631782508125
3193,dap,2,0.053815191381677195
6966,disparadores,6,0.0536889830460649
1700,webworm,14,0.05330458911786094
7279,finish,2,0.05328931003267059
7278,start,2,0.05328931003267059
7275,terminate,2,0.05328931003267059
7274,initialize,2,0.05328931003267059
4289,a1,2,0.05311629279230477
4266,parend,2,0.05311629279230477
4260,"m,g",2,0.05311629279230477
6080,comp,5,0.0530776095852379
7845,iteração,12,0.05304906090418419
5,carlos,9,0.05303393168317463
7443,0.5,14,0.0527561851368509
8429,coletado,6,0.0527116393931063
7709,putaciona,3,0.05262597982443898
